loan_size,borrower_retention,loans_per_borrower,interest_rate,default_rate_7dpd,default_rate_51dpd,default_rate_365dpd,cumulative_ltv_per_original,default_rate_7dpd_seed,default_rate_51dpd_seed,default_rate_365dpd_seed,,
36.1,1,1.873,0.1936,0.155,0.144,0.141,0.4,0.2150762,0.205696782,0.201860887,,
60.9,0.608,1.258,0.1957,0.156,0.142,0.14,0.9,0.20446153,0.193483025,0.189606595,,
73,0.486,1.209,0.1966,0.143,0.128,0.126,1.4,0.19421093,0.18180898,0.177897563,,
83.8,0.396,1.186,0.1967,0.131,0.117,0.114,1.8,0.18432439,0.170674645,0.166733792,,
96,0.331,1.186,0.1958,0.121,0.106,0.103,2.4,0.17480192,0.160080021,0.156115282,,
107.1,0.283,1.181,0.1955,0.114,0.099,0.097,3.2,0.16564351,0.150025107,0.146042033,,
116,0.245,1.182,0.1948,0.11,0.095,0.093,4.3,0.15684917,0.140509905,0.136514045,,
122.9,0.212,1.178,0.1946,0.102,0.09,0.084,5.6,0.1484189,0.131534413,0.127531319,,
129.9,0.188,1.182,0.1943,0.1,0.088,0.084,7.1,0.14035269,0.123098632,0.119093853,,
136.7,0.166,1.178,0.1942,0.097,0.083,0.081,8.5,0.13265055,0.115202562,0.111201648,,
144.9,0.152,1.182,0.1941,0.097,0.082,0.08,10,0.12531247,0.107846203,0.103854704,,
151.5,0.14,1.176,0.194,0.097,0.081,0.079,11.7,0.11833846,0.09745038,0.093567766,,
158.9,0.128,1.176,0.1935,0.096,0.079,0.077,13.3,0.10782269,0.090741384,0.086912059,,
164.9,0.117,1.176,0.1932,0.095,0.078,0.075,14.9,0.10008881,0.085387387,0.081970811,,
170.2,0.11,1.175,0.1933,0.094,0.076,0.074,16.5,0.09472446,0.082583092,0.079151177,,
173.2,0.102,1.175,0.1928,0.093,0.075,0.072,18,0.09206574,0.077375,0.073886906,,
176.1,0.095,1.174,0.1923,0.091,0.074,0.071,19.5,0.08711747,0.072700908,0.069122632,,
178.8,0.089,1.174,0.1918,0.09,0.072,0.07,21,0.08266141,0.068560815,0.064858355,,
181.5,0.083,1.173,0.1913,0.083,0.071,0.069,22.5,0.07869756,0.064954721,0.061094075,,
184,0.078,1.173,0.1908,0.083,0.07,0.068,23.9,0.07522591,0.061882626,0.057829793,,
186.4,0.073,1.172,0.1903,0.082,0.069,0.068,25.3,0.07224648,0.059344531,0.055065508,,
188.7,0.069,1.172,0.1898,0.081,0.069,0.067,26.6,0.06975926,0.057340434,0.05280122,,
190.8,0.065,1.171,0.1893,0.08,0.068,0.067,27.9,0.06776425,0.055870337,0.051036929,,
192.8,0.062,1.171,0.1888,0.079,0.068,0.067,29.2,0.06626145,0.054934239,0.049772636,,
194,0.058,1.171,0.1888,0.079,0.067,0.066,30.3,0.06525086,0.05453214,0.049008339,,
195.2,0.055,1.171,0.1888,0.079,0.067,0.066,31.5,0.06473249,0.054130041,0.048244043,,
196.4,0.053,1.171,0.1888,0.079,0.066,0.066,32.6,0.06470632,0.053727942,0.047479747,,
197.6,0.05,1.171,0.1888,0.079,0.066,0.066,33.6,0.06468015,0.053727942,0.047215448,,
198.8,0.047,1.171,0.1888,0.079,0.065,0.065,34.6,0.06465398,0.053727942,0.047215448,,
200,0.045,1.171,0.1888,0.079,0.065,0.065,35.5,0.06462781,0.053727942,0.047215448,,
200,0.043,1.171,0.1888,0.079,0.065,0.065,36.4,0.06460164,0.053727942,0.047215448,,
200,0.041,1.171,0.1888,0.079,0.065,0.065,37.3,0.06457547,0.053727942,0.047215448,,
200,0.039,1.171,0.1888,0.079,0.065,0.065,38.1,0.0645493,0.053727942,0.047215448,,
200,0.037,1.171,0.1888,0.079,0.065,0.065,38.9,0.06452313,0.053727942,0.047215448,,
200,0.036,1.171,0.1888,0.079,0.065,0.065,39.6,0.06449696,0.053727942,0.047215448,,
200,0.034,1.171,0.1888,0.079,0.065,0.065,40.3,0.06447079,0.053727942,0.047215448,,
200,0.033,1.171,0.1888,0.079,0.065,0.065,41,0.06447079,0.053727942,0.047215448,,
200,0.032,1.171,0.1888,0.079,0.065,0.065,41.6,0.06447079,0.053727942,0.047215448,,
200,0.03,1.171,0.1888,0.079,0.065,0.065,42.2,0.06447079,0.053727942,0.047215448,,
200,0.029,1.171,0.1888,0.079,0.065,0.065,42.8,0.06447079,0.053727942,0.047215448,,
200,0.028,1.171,0.1888,0.079,0.065,0.065,43.3,0.06447079,0.053727942,0.047215448,,
200,0.027,1.171,0.1888,0.079,0.065,0.065,43.8,0.06447079,0.053727942,0.047215448,,
200,0.026,1.171,0.1888,0.079,0.065,0.065,44.3,0.06447079,0.053727942,0.047215448,,
200,0.026,1.171,0.1888,0.079,0.065,0.065,44.8,0.06447079,0.053727942,0.047215448,,
200,0.025,1.171,0.1888,0.079,0.065,0.065,45.2,0.06447079,0.053727942,0.047215448,,
200,0.024,1.171,0.1888,0.079,0.065,0.065,45.7,0.06447079,0.053727942,0.047215448,,
200,0.023,1.171,0.1888,0.079,0.065,0.065,46,0.06447079,0.053727942,0.047215448,,
200,0.023,1.171,0.1888,0.079,0.065,0.065,46.4,0.06447079,0.053727942,0.047215448,,
200,0.022,1.171,0.1888,0.079,0.065,0.065,46.8,0.06447079,0.053727942,0.047215448,,
200,0.014,1.171,0.1888,0.079,0.065,0.065,47.1,0.06447079,0.053727942,0.047215448,,
200,,1.171,0.1888,0.079,0.065,0.065,,0.06447079,0.053727942,0.047215448,,
200,,1.171,0.1888,0.079,0.065,0.065,,0.06447079,0.053727942,0.047215448,,
200,,1.171,0.1888,0.079,0.065,0.065,,0.06447079,0.053727942,0.047215448,,
200,,1.171,0.1888,0.079,0.065,0.065,,0.06447079,0.053727942,0.047215448,,
200,,1.171,0.1888,0.079,0.065,0.065,,0.06447079,0.053727942,0.047215448,,
200,,1.171,0.1888,0.079,0.065,0.065,,0.06447079,0.053727942,0.047215448,,
200,,1.171,0.1888,0.079,0.065,0.065,,0.06447079,0.053727942,0.047215448,,
200,,1.171,0.1888,0.079,0.065,0.065,,0.06447079,0.053727942,0.047215448,,
200,,1.171,0.1888,0.079,0.065,0.065,,0.06447079,0.053727942,0.047215448,,
200,,1.171,0.1888,0.079,0.065,0.065,,0.06447079,0.053727942,0.047215448,,
200,,1.171,0.1888,0.079,0.065,0.065,,0.06447079,0.053727942,0.047215448,,
200,,1.171,0.1888,0.079,0.065,0.065,,0.06447079,0.053727942,0.047215448,,
200,,1.171,0.1888,0.079,0.065,0.065,,0.06447079,0.053727942,0.047215448,,
200,,1.171,0.1888,0.079,0.065,0.065,,0.06447079,0.053727942,0.047215448,,
200,,1.171,0.1888,0.079,0.065,0.065,,0.06447079,0.053727942,0.047215448,,
200,,1.171,0.1888,0.079,0.065,0.065,,0.06447079,0.053727942,0.047215448,,
200,,1.171,0.1888,0.079,0.065,0.065,,0.06447079,0.053727942,0.047215448,,
200,,1.171,0.1888,0.079,0.065,0.065,,0.06447079,0.053727942,0.047215448,,
200,,1.171,0.1888,0.079,0.065,0.065,,0.06447079,0.053727942,0.047215448,,
200,,1.171,0.1888,0.079,0.065,0.065,,0.06447079,0.053727942,0.047215448,,
200,,1.171,0.1888,0.079,0.065,0.065,,0.06447079,0.053727942,0.047215448,,
200,,1.171,0.1888,0.079,0.065,0.065,,0.06447079,0.053727942,0.047215448,,
200,,1.171,0.1888,0.079,0.065,0.065,,0.06447079,0.053727942,0.047215448,,
200,,1.171,0.1888,0.079,0.065,0.065,,0.06447079,0.053727942,0.047215448,,
200,,1.171,0.1888,0.079,0.065,0.065,,0.06447079,0.053727942,0.047215448,,
200,,1.171,0.1888,0.079,0.065,0.065,,0.06447079,0.053727942,0.047215448,,
200,,1.171,0.1888,0.079,0.065,0.065,,0.06447079,0.053727942,0.047215448,,
200,,1.171,0.1888,0.079,0.065,0.065,,0.06447079,0.053727942,0.047215448,,
200,,1.171,0.1888,0.079,0.065,0.065,,0.06447079,0.053727942,0.047215448,,
200,,1.171,0.1888,0.079,0.065,0.065,,0.06447079,0.053727942,0.047215448,,
200,,1.171,0.1888,0.079,0.065,0.065,,0.06447079,0.053727942,0.047215448,,
200,,1.171,0.1888,0.079,0.065,0.065,,0.06447079,0.053727942,0.047215448,,
200,,1.171,0.1888,0.079,0.065,0.065,,0.06447079,0.053727942,0.047215448,,
200,,1.171,0.1888,0.079,0.065,0.065,,0.06447079,0.053727942,0.047215448,,
200,,1.171,0.1888,0.079,0.065,0.065,,0.06447079,0.053727942,0.047215448,,
200,,1.171,0.1888,0.079,0.065,0.065,,0.06447079,0.053727942,0.047215448,,
200,,1.171,0.1888,0.079,0.065,0.065,,0.06447079,0.053727942,0.047215448,,
200,,1.171,0.1888,0.079,0.065,0.065,,0.06447079,0.053727942,0.047215448,,
200,,1.171,0.1888,0.079,0.065,0.065,,0.06447079,0.053727942,0.047215448,,
200,,1.171,0.1888,0.079,0.065,0.065,,0.06447079,0.053727942,0.047215448,,
200,,1.171,0.1888,0.079,0.065,0.065,,0.06447079,0.053727942,0.047215448,,
200,,1.171,0.1888,0.079,0.065,0.065,,0.06447079,0.053727942,0.047215448,,
200,,1.171,0.1888,0.079,0.065,0.065,,0.06447079,0.053727942,0.047215448,,
200,,1.171,0.1888,0.079,0.065,0.065,,0.06447079,0.053727942,0.047215448,,
200,,1.171,0.1888,0.079,0.065,0.065,,0.06447079,0.053727942,0.047215448,,
200,,1.171,0.1888,0.079,0.065,0.065,,0.06447079,0.053727942,0.047215448,,
200,,1.171,0.1888,0.079,0.065,0.065,,0.06447079,0.053727942,0.047215448,,
200,,1.171,0.1888,0.079,0.065,0.065,,0.06447079,0.053727942,0.047215448,,
200,,1.171,0.1888,0.079,0.065,0.065,,0.06447079,0.053727942,0.047215448,,
200,,1.171,0.1888,0.079,0.065,0.065,,0.06447079,0.053727942,0.047215448,,
200,,1.171,0.1888,0.079,0.065,0.065,,0.06447079,0.053727942,0.047215448,,
200,,1.171,0.1888,0.079,0.065,0.065,,0.06447079,0.053727942,0.047215448,,
200,,1.171,0.1888,0.079,0.065,0.065,,0.06447079,0.053727942,0.047215448,,
200,,1.171,0.1888,0.079,0.065,0.065,,0.06447079,0.053727942,0.047215448,,
200,,1.171,0.1888,0.079,0.065,0.065,,0.06447079,0.053727942,0.047215448,,
200,,1.171,0.1888,0.079,0.065,0.065,,0.06447079,0.053727942,0.047215448,,
200,,1.171,0.1888,0.079,0.065,0.065,,0.06447079,0.053727942,0.047215448,,
200,,1.171,0.1888,0.079,0.065,0.065,,0.06447079,0.053727942,0.047215448,,
200,,1.171,0.1888,0.079,0.065,0.065,,0.06447079,0.053727942,0.047215448,,
200,,1.171,0.1888,0.079,0.065,0.065,,0.06447079,0.053727942,0.047215448,,
200,,1.171,0.1888,0.079,0.065,0.065,,0.06447079,0.053727942,0.047215448,,
200,,1.171,0.1888,0.079,0.065,0.065,,0.06447079,0.053727942,0.047215448,,
200,,1.171,0.1888,0.079,0.065,0.065,,0.06447079,0.053727942,0.047215448,,
200,,1.171,0.1888,0.079,0.065,0.065,,0.06447079,0.053727942,0.047215448,,
200,,1.171,0.1888,0.079,0.065,0.065,,0.06447079,0.053727942,0.047215448,,
200,,1.171,0.1888,0.079,0.065,0.065,,0.06447079,0.053727942,0.047215448,,
200,,1.171,0.1888,0.079,0.065,0.065,,0.06447079,0.053727942,0.047215448,,
200,,1.171,0.1888,0.079,0.065,0.065,,0.06447079,0.053727942,0.047215448,,
200,,1.171,0.1888,0.079,0.065,0.065,,0.06447079,0.053727942,0.047215448,,
200,,1.171,0.1888,0.079,0.065,0.065,,0.06447079,0.053727942,0.047215448,,