loan_size,borrower_retention,loans_per_borrower,interest_rate,default_rate_7dpd,default_rate_51dpd,default_rate_365dpd,cumulative_ltv_per_original
40,1,1.62,0.141,0.214901734,0.135491207,0.130071559,-3.8
55,0.557,1.16,0.143,0.214901734,0.135491207,0.130071559,-4.6
65,0.457,1.14,0.143,0.214901734,0.135491207,0.130071559,-4.3
73,0.395,1.14,0.143,0.212202839,0.12009337,0.115289635,-3.5
81,0.348,1.13,0.143,0.206879824,0.108988352,0.104628818,-2.1
88,0.308,1.12,0.143,0.204607785,0.101946911,0.097869034,-0.5
96,0.277,1.12,0.142,0.199857182,0.093715147,0.089966541,1.1
104,0.254,1.12,0.143,0.190374727,0.085934777,0.082497386,2.9
112,0.234,1.12,0.143,0.18743456,0.080342988,0.077129269,4.8
120,0.218,1.12,0.144,0.181909911,0.075227668,0.072218561,6.8
128,0.204,1.12,0.144,0.18165582,0.071552354,0.06869026,8.9
136,0.193,1.12,0.144,0.176005816,0.065881403,0.063246147,11.1
144,0.183,1.12,0.144,0.174988131,0.066930919,0.064253682,13.4
151,0.174,1.12,0.143,0.1777262,0.067175403,0.064488387,15.6
157,0.166,1.12,0.144,0.176217995,0.066404244,0.063748074,17.9
162,0.159,1.12,0.144,0.178916171,0.064940945,0.062343307,20.2
166,0.152,1.12,0.144,0.179790063,0.0648754,0.062280384,22.4
167,0.147,1.12,0.143,0.184482441,0.064888057,0.062292535,24.6
169,0.141,1.12,0.144,0.189730097,0.06363541,0.061089994,26.7
170,0.137,1.12,0.144,0.190881779,0.063594557,0.061050774,28.8
172,0.132,1.12,0.143,0.191148725,0.062931887,0.060414611,30.8
173,0.128,1.12,0.144,0.189063254,0.062693244,0.060185514,32.7
174,0.124,1.12,0.144,0.189524399,0.064196109,0.061628264,34.6
175,0.12,1.12,0.144,0.183808918,0.064122792,0.06155788,36.5
175,0.116,1.12,0.144,0.183808918,0.064122792,0.06155788,38.4
176,0.113,1.12,0.144,0.183808918,0.064122792,0.06155788,40.2
177,0.11,1.12,0.144,0.183808918,0.064122792,0.06155788,42
178,0.106,1.12,0.144,0.183808918,0.064122792,0.06155788,43.7
179,0.103,1.12,0.144,0.183808918,0.064122792,0.06155788,45.4
180,0.1,1.12,0.144,0.183808918,0.064122792,0.06155788,47
181,0.097,1.12,0.144,0.183808918,0.064122792,0.06155788,48.6
182,0.094,1.12,0.144,0.183808918,0.064122792,0.06155788,50.2
183,0.091,1.12,0.144,0.183808918,0.064122792,0.06155788,51.7
183,0.088,1.12,0.144,0.183808918,0.064122792,0.06155788,53.2
184,0.086,1.12,0.144,0.183808918,0.064122792,0.06155788,54.7
185,0.083,1.12,0.144,0.183808918,0.064122792,0.06155788,56.1
186,0.081,1.12,0.144,0.183808918,0.064122792,0.06155788,57.5
187,0.078,1.12,0.144,0.183808918,0.064122792,0.06155788,58.8
188,0.076,1.12,0.144,0.183808918,0.064122792,0.06155788,60.1
189,0.074,1.12,0.144,0.183808918,0.064122792,0.06155788,61.4
190,0.071,1.12,0.144,0.183808918,0.064122792,0.06155788,62.6
191,0.069,1.12,0.144,0.183808918,0.064122792,0.06155788,63.8
191,0.067,1.12,0.144,0.183808918,0.064122792,0.06155788,65
192,0.065,1.12,0.144,0.183808918,0.064122792,0.06155788,66.2
193,0.063,1.12,0.144,0.183808918,0.064122792,0.06155788,67.3
194,0.061,1.12,0.144,0.183808918,0.064122792,0.06155788,68.4
195,0.06,1.12,0.144,0.183808918,0.064122792,0.06155788,69.5
196,0.058,1.12,0.144,0.183808918,0.064122792,0.06155788,70.5
197,0.056,1.12,0.144,0.183808918,0.064122792,0.06155788,71.5
198,0.054,1.12,0.144,0.183808918,0.064122792,0.06155788,72.5
198,,1.12,0.144,0.183808918,0.064122792,0.06155788,
198,,1.12,0.144,0.183808918,0.064122792,0.06155788,
198,,1.12,0.144,0.183808918,0.064122792,0.06155788,
198,,1.12,0.144,0.183808918,0.064122792,0.06155788,
198,,1.12,0.144,0.183808918,0.064122792,0.06155788,
198,,1.12,0.144,0.183808918,0.064122792,0.06155788,
198,,1.12,0.144,0.183808918,0.064122792,0.06155788,
198,,1.12,0.144,0.183808918,0.064122792,0.06155788,
198,,1.12,0.144,0.183808918,0.064122792,0.06155788,
198,,1.12,0.144,0.183808918,0.064122792,0.06155788,
198,,1.12,0.144,0.183808918,0.064122792,0.06155788,
198,,1.12,0.144,0.183808918,0.064122792,0.06155788,
198,,1.12,0.144,0.183808918,0.064122792,0.06155788,
198,,1.12,0.144,0.183808918,0.064122792,0.06155788,
198,,1.12,0.144,0.183808918,0.064122792,0.06155788,
198,,1.12,0.144,0.183808918,0.064122792,0.06155788,
198,,1.12,0.144,0.183808918,0.064122792,0.06155788,
198,,1.12,0.144,0.183808918,0.064122792,0.06155788,
198,,1.12,0.144,0.183808918,0.064122792,0.06155788,
198,,1.12,0.144,0.183808918,0.064122792,0.06155788,
198,,1.12,0.144,0.183808918,0.064122792,0.06155788,
198,,1.12,0.144,0.183808918,0.064122792,0.06155788,
198,,1.12,0.144,0.183808918,0.064122792,0.06155788,
198,,1.12,0.144,0.183808918,0.064122792,0.06155788,
198,,1.12,0.144,0.183808918,0.064122792,0.06155788,
198,,1.12,0.144,0.183808918,0.064122792,0.06155788,
198,,1.12,0.144,0.183808918,0.064122792,0.06155788,
198,,1.12,0.144,0.183808918,0.064122792,0.06155788,
198,,1.12,0.144,0.183808918,0.064122792,0.06155788,
198,,1.12,0.144,0.183808918,0.064122792,0.06155788,
198,,1.12,0.144,0.183808918,0.064122792,0.06155788,
198,,1.12,0.144,0.183808918,0.064122792,0.06155788,
198,,1.12,0.144,0.183808918,0.064122792,0.06155788,
198,,1.12,0.144,0.183808918,0.064122792,0.06155788,
198,,1.12,0.144,0.183808918,0.064122792,0.06155788,
198,,1.12,0.144,0.183808918,0.064122792,0.06155788,
198,,1.12,0.144,0.183808918,0.064122792,0.06155788,
198,,1.12,0.144,0.183808918,0.064122792,0.06155788,
198,,1.12,0.144,0.183808918,0.064122792,0.06155788,
198,,1.12,0.144,0.183808918,0.064122792,0.06155788,
198,,1.12,0.144,0.183808918,0.064122792,0.06155788,
198,,1.12,0.144,0.183808918,0.064122792,0.06155788,
198,,1.12,0.144,0.183808918,0.064122792,0.06155788,
198,,1.12,0.144,0.183808918,0.064122792,0.06155788,
198,,1.12,0.144,0.183808918,0.064122792,0.06155788,
198,,1.12,0.144,0.183808918,0.064122792,0.06155788,
198,,1.12,0.144,0.183808918,0.064122792,0.06155788,
198,,1.12,0.144,0.183808918,0.064122792,0.06155788,
198,,1.12,0.144,0.183808918,0.064122792,0.06155788,
198,,1.12,0.144,0.183808918,0.064122792,0.06155788,
198,,1.12,0.144,0.183808918,0.064122792,0.06155788,
198,,1.12,0.144,0.183808918,0.064122792,0.06155788,
198,,1.12,0.144,0.183808918,0.064122792,0.06155788,
198,,1.12,0.144,0.183808918,0.064122792,0.06155788,
198,,1.12,0.144,0.183808918,0.064122792,0.06155788,
198,,1.12,0.144,0.183808918,0.064122792,0.06155788,
198,,1.12,0.144,0.183808918,0.064122792,0.06155788,
198,,1.12,0.144,0.183808918,0.064122792,0.06155788,
198,,1.12,0.144,0.183808918,0.064122792,0.06155788,
198,,1.12,0.144,0.183808918,0.064122792,0.06155788,
198,,1.12,0.144,0.183808918,0.064122792,0.06155788,
198,,1.12,0.144,0.183808918,0.064122792,0.06155788,
198,,1.12,0.144,0.183808918,0.064122792,0.06155788,
198,,1.12,0.144,0.183808918,0.064122792,0.06155788,
198,,1.12,0.144,0.183808918,0.064122792,0.06155788,
198,,1.12,0.144,0.183808918,0.064122792,0.06155788,
198,,1.12,0.144,0.183808918,0.064122792,0.06155788,
198,,1.12,0.144,0.183808918,0.064122792,0.06155788,
198,,1.12,0.144,0.183808918,0.064122792,0.06155788,
198,,1.12,0.144,0.183808918,0.064122792,0.06155788,