market,month,recovery_7-30,recovery_30-51,recovery_51_
ke,1,0.2,0.06,0.12
ke,2,0.21,0.06,0.12
ke,3,0.23,0.07,0.12
ke,4,0.26,0.06,0.12
ke,5,0.24,0.08,0.12
ke,6,0.25,0.09,0.12
ke,7,0.19,0.06,0.12
ke,8,0.18,0.07,0.12
ke,9,0.2,0.06,0.12
ke,10,0.2,0.06,0.12
ke,11,0.2,0.07,0.12
ke,12,0.21,0.07,0.12
ke,13,0.21,0.07,0.12
ke,14,0.21,0.07,0.12
ke,15,0.21,0.07,0.12
ke,16,0.21,0.07,0.12
ke,17,0.21,0.07,0.12
ke,18,0.21,0.07,0.12
ke,19,0.21,0.07,0.12
ke,20,0.21,0.07,0.12
ke,21,0.21,0.07,0.12
ke,22,0.21,0.07,0.12
ke,23,0.21,0.07,0.12
ke,24,0.21,0.07,0.12
ke,25,0.21,0.07,0.12
ke,26,0.21,0.07,0.12
ke,27,0.21,0.07,0.12
ke,28,0.21,0.07,0.12
ke,29,0.21,0.07,0.12
ke,30,0.21,0.07,0.12
ke,31,0.21,0.07,0.12
ke,32,0.21,0.07,0.12
ke,33,0.21,0.07,0.12
ke,34,0.21,0.07,0.12
ke,35,0.21,0.07,0.12
ke,36,0.21,0.07,0.12
ke,37,0.21,0.07,0.12
ke,38,0.21,0.07,0.12
ke,39,0.21,0.07,0.12
ke,40,0.21,0.07,0.12
ke,41,0.21,0.07,0.12
ke,42,0.21,0.07,0.12
ke,43,0.21,0.07,0.12
ke,44,0.21,0.07,0.12
ke,45,0.21,0.07,0.12
ke,46,0.21,0.07,0.12
ke,47,0.21,0.07,0.12
ke,48,0.21,0.07,0.12
ke,49,0.21,0.07,0.12
ke,50,0.21,0.07,0.12
ke,51,0.21,0.07,0.12
ke,52,0.21,0.07,0.12
ke,53,0.21,0.07,0.12
ke,54,0.21,0.07,0.12
ke,55,0.21,0.07,0.12
ke,56,0.21,0.07,0.12
ke,57,0.21,0.07,0.12
ke,58,0.21,0.07,0.12
ke,59,0.21,0.07,0.12
ke,60,0.21,0.07,0.12
ke,61,0.21,0.07,0.12
ke,62,0.21,0.07,0.12
ke,63,0.21,0.07,0.12
ke,64,0.21,0.07,0.12
ke,65,0.21,0.07,0.12
ke,66,0.21,0.07,0.12
ke,67,0.21,0.07,0.12
ke,68,0.21,0.07,0.12
ke,69,0.21,0.07,0.12
ke,70,0.21,0.07,0.12
ke,71,0.21,0.07,0.12
ke,72,0.21,0.07,0.12
ke,73,0.21,0.07,0.12
ke,74,0.21,0.07,0.12
ke,75,0.21,0.07,0.12
ke,76,0.21,0.07,0.12
ke,77,0.21,0.07,0.12
ke,78,0.21,0.07,0.12
ke,79,0.21,0.07,0.12
ke,80,0.21,0.07,0.12
ke,81,0.21,0.07,0.12
ke,82,0.21,0.07,0.12
ke,83,0.21,0.07,0.12
ke,84,0.21,0.07,0.12
ke,85,0.21,0.07,0.12
ke,86,0.21,0.07,0.12
ke,87,0.21,0.07,0.12
ke,88,0.21,0.07,0.12
ke,89,0.21,0.07,0.12
ke,90,0.21,0.07,0.12
ke,91,0.21,0.07,0.12
ke,92,0.21,0.07,0.12
ke,93,0.21,0.07,0.12
ke,94,0.21,0.07,0.12
ke,95,0.21,0.07,0.12
ke,96,0.21,0.07,0.12
ke,97,0.21,0.07,0.12
ke,98,0.21,0.07,0.12
ke,99,0.21,0.07,0.12
ke,100,0.21,0.07,0.12
ph,1,0.06,0.03,0.04
ph,2,0.09,0.04,0.04
ph,3,0.12,0.05,0.04
ph,4,0.14,0.05,0.04
ph,5,0.14,0.06,0.04
ph,6,0.17,0.06,0.04
ph,7,0.18,0.05,0.04
ph,8,0.17,0.08,0.04
ph,9,0.2,0.08,0.04
ph,10,0.19,0.08,0.04
ph,11,0.19,0.07,0.04
ph,12,0.18,0.07,0.04
ph,13,0.18,0.07,0.04
ph,14,0.18,0.07,0.04
ph,15,0.18,0.07,0.04
ph,16,0.18,0.07,0.04
ph,17,0.18,0.07,0.04
ph,18,0.18,0.07,0.04
ph,19,0.18,0.07,0.04
ph,20,0.18,0.07,0.04
ph,21,0.18,0.07,0.04
ph,22,0.18,0.07,0.04
ph,23,0.18,0.07,0.04
ph,24,0.18,0.07,0.04
ph,25,0.18,0.07,0.04
ph,26,0.18,0.07,0.04
ph,27,0.18,0.07,0.04
ph,28,0.18,0.07,0.04
ph,29,0.18,0.07,0.04
ph,30,0.18,0.07,0.04
ph,31,0.18,0.07,0.04
ph,32,0.18,0.07,0.04
ph,33,0.18,0.07,0.04
ph,34,0.18,0.07,0.04
ph,35,0.18,0.07,0.04
ph,36,0.18,0.07,0.04
ph,37,0.18,0.07,0.04
ph,38,0.18,0.07,0.04
ph,39,0.18,0.07,0.04
ph,40,0.18,0.07,0.04
ph,41,0.18,0.07,0.04
ph,42,0.18,0.07,0.04
ph,43,0.18,0.07,0.04
ph,44,0.18,0.07,0.04
ph,45,0.18,0.07,0.04
ph,46,0.18,0.07,0.04
ph,47,0.18,0.07,0.04
ph,48,0.18,0.07,0.04
ph,49,0.18,0.07,0.04
ph,50,0.18,0.07,0.04
ph,51,0.18,0.07,0.04
ph,52,0.18,0.07,0.04
ph,53,0.18,0.07,0.04
ph,54,0.18,0.07,0.04
ph,55,0.18,0.07,0.04
ph,56,0.18,0.07,0.04
ph,57,0.18,0.07,0.04
ph,58,0.18,0.07,0.04
ph,59,0.18,0.07,0.04
ph,60,0.18,0.07,0.04
ph,61,0.18,0.07,0.04
ph,62,0.18,0.07,0.04
ph,63,0.18,0.07,0.04
ph,64,0.18,0.07,0.04
ph,65,0.18,0.07,0.04
ph,66,0.18,0.07,0.04
ph,67,0.18,0.07,0.04
ph,68,0.18,0.07,0.04
ph,69,0.18,0.07,0.04
ph,70,0.18,0.07,0.04
ph,71,0.18,0.07,0.04
ph,72,0.18,0.07,0.04
ph,73,0.18,0.07,0.04
ph,74,0.18,0.07,0.04
ph,75,0.18,0.07,0.04
ph,76,0.18,0.07,0.04
ph,77,0.18,0.07,0.04
ph,78,0.18,0.07,0.04
ph,79,0.18,0.07,0.04
ph,80,0.18,0.07,0.04
ph,81,0.18,0.07,0.04
ph,82,0.18,0.07,0.04
ph,83,0.18,0.07,0.04
ph,84,0.18,0.07,0.04
ph,85,0.18,0.07,0.04
ph,86,0.18,0.07,0.04
ph,87,0.18,0.07,0.04
ph,88,0.18,0.07,0.04
ph,89,0.18,0.07,0.04
ph,90,0.18,0.07,0.04
ph,91,0.18,0.07,0.04
ph,92,0.18,0.07,0.04
ph,93,0.18,0.07,0.04
ph,94,0.18,0.07,0.04
ph,95,0.18,0.07,0.04
ph,96,0.18,0.07,0.04
ph,97,0.18,0.07,0.04
ph,98,0.18,0.07,0.04
ph,99,0.18,0.07,0.04
ph,100,0.18,0.07,0.04
mx,1,0.077,0.016,0.02
mx,2,0.0823,0.0161,0.02
mx,3,0.094,0.0196,0.02
mx,4,0.1003,0.0215,0.02
mx,5,0.1073,0.0194,0.02
mx,6,0.1129,0.0229,0.02
mx,7,0.1179,0.023,0.02
mx,8,0.1288,0.0311,0.02
mx,9,0.1456,0.0282,0.02
mx,10,0.1155,0.0151,0.02
mx,11,0.1196,0.0179,0.02
mx,12,0.1055,0.0183,0.02
mx,13,0.1055,0.0183,0.02
mx,14,0.1055,0.0183,0.02
mx,15,0.1055,0.0183,0.02
mx,16,0.1055,0.0183,0.02
mx,17,0.1055,0.0183,0.02
mx,18,0.1055,0.0183,0.02
mx,19,0.1055,0.0183,0.02
mx,20,0.1055,0.0183,0.02
mx,21,0.1055,0.0183,0.02
mx,22,0.1055,0.0183,0.02
mx,23,0.1055,0.0183,0.02
mx,24,0.1055,0.0183,0.02
mx,25,0.1055,0.0183,0.02
mx,26,0.1055,0.0183,0.02
mx,27,0.1055,0.0183,0.02
mx,28,0.1055,0.0183,0.02
mx,29,0.1055,0.0183,0.02
mx,30,0.1055,0.0183,0.02
mx,31,0.1055,0.0183,0.02
mx,32,0.1055,0.0183,0.02
mx,33,0.1055,0.0183,0.02
mx,34,0.1055,0.0183,0.02
mx,35,0.1055,0.0183,0.02
mx,36,0.1055,0.0183,0.02
mx,37,0.1055,0.0183,0.02
mx,38,0.1055,0.0183,0.02
mx,39,0.1055,0.0183,0.02
mx,40,0.1055,0.0183,0.02
mx,41,0.1055,0.0183,0.02
mx,42,0.1055,0.0183,0.02
mx,43,0.1055,0.0183,0.02
mx,44,0.1055,0.0183,0.02
mx,45,0.1055,0.0183,0.02
mx,46,0.1055,0.0183,0.02
mx,47,0.1055,0.0183,0.02
mx,48,0.1055,0.0183,0.02
mx,49,0.1055,0.0183,0.02
mx,50,0.1055,0.0183,0.02
mx,51,0.1055,0.0183,0.02
mx,52,0.1055,0.0183,0.02
mx,53,0.1055,0.0183,0.02
mx,54,0.1055,0.0183,0.02
mx,55,0.1055,0.0183,0.02
mx,56,0.1055,0.0183,0.02
mx,57,0.1055,0.0183,0.02
mx,58,0.1055,0.0183,0.02
mx,59,0.1055,0.0183,0.02
mx,60,0.1055,0.0183,0.02
mx,61,0.1055,0.0183,0.02
mx,62,0.1055,0.0183,0.02
mx,63,0.1055,0.0183,0.02
mx,64,0.1055,0.0183,0.02
mx,65,0.1055,0.0183,0.02
mx,66,0.1055,0.0183,0.02
mx,67,0.1055,0.0183,0.02
mx,68,0.1055,0.0183,0.02
mx,69,0.1055,0.0183,0.02
mx,70,0.1055,0.0183,0.02
mx,71,0.1055,0.0183,0.02
mx,72,0.1055,0.0183,0.02
mx,73,0.1055,0.0183,0.02
mx,74,0.1055,0.0183,0.02
mx,75,0.1055,0.0183,0.02
mx,76,0.1055,0.0183,0.02
mx,77,0.1055,0.0183,0.02
mx,78,0.1055,0.0183,0.02
mx,79,0.1055,0.0183,0.02
mx,80,0.1055,0.0183,0.02
mx,81,0.1055,0.0183,0.02
mx,82,0.1055,0.0183,0.02
mx,83,0.1055,0.0183,0.02
mx,84,0.1055,0.0183,0.02
mx,85,0.1055,0.0183,0.02
mx,86,0.1055,0.0183,0.02
mx,87,0.1055,0.0183,0.02
mx,88,0.1055,0.0183,0.02
mx,89,0.1055,0.0183,0.02
mx,90,0.1055,0.0183,0.02
mx,91,0.1055,0.0183,0.02
mx,92,0.1055,0.0183,0.02
mx,93,0.1055,0.0183,0.02
mx,94,0.1055,0.0183,0.02
mx,95,0.1055,0.0183,0.02
mx,96,0.1055,0.0183,0.02
mx,97,0.1055,0.0183,0.02
mx,98,0.1055,0.0183,0.02
mx,99,0.1055,0.0183,0.02
mx,100,0.1055,0.0183,0.02